STAND,FOREST TYPE,Plots,Acres Net
1,E,30,30.5
3,C/D,8,8.09
4,C/D,25,25.41
5,C/D,5,5.69
6,D,15,25.03
6.1,,9,22.34
7,E,26,27.3
7.1,,10,9
9,A,5,8
10,B,20,39.49
11,A,22,42.47
11.1,NC,2,7.16
13,B,17,34.12
14,D,30,80.75
14.1,,19,56.26
14.2,,1,2.5
15,A,31,63.22
16,C,32,69.25
16.1,,17,31.88
17,A,17,36.74
18,A,29,59.96
19,B,50,200.96
20,I,11,11.96
20.1,,7,6
23,I,40,54.32
23.1,,10,13.58
26,I,38,38.56
28,II,6,7.78
29,II,16,16.02
30,I,5,7
30.1,,1,0.67
